Sample Number,Well Location,plate,Sample Name,BOX,ROW,COLUMN,Concentration ng/ul
288,H12,3,2307,3,9,H,6.05
289,A01,4,2358,3,9,I,10.72
290,B01,4,2214,3,9,J,8.31
291,C01,4,1969,3,10,A,9.41
292,D01,4,1437,3,10,B,10.24
293,E01,4,1952,3,10,C,9.25
294,F01,4,1653,3,10,D,8.84
295,G01,4,1472,3,10,E,5.34
296,H01,4,1584,3,10,F,7.42
297,A02,4,1159,3,10,G,8.33
298,B02,4,2226,3,10,H,9.42
299,C02,4,1839,3,10,I,12.44
300,D02,4,9,3,10,J,8.7
301,E02,4,2103,4,1,A,8.87
302,F02,4,1057,4,1,B,9.39
303,G02,4,1619,4,1,C,6.62
304,H02,4,198,4,1,D,10.41
305,A03,4,525,4,1,E,7.08
306,B03,4,838,4,1,F,6.88
307,C03,4,2192,4,1,G,5.94
308,D03,4,552,4,1,H,4.16
309,E03,4,402,4,1,I,7.69
310,F03,4,129,4,1,J,5.84
311,G03,4,1007,4,2,A,10.44
312,H03,4,1407,4,2,B,4.28
313,A04,4,4,4,2,C,8.87
314,B04,4,529,4,2,D,8.02
315,C04,4,1132,4,2,E,7.15
316,D04,4,1488,4,2,F,5.99
317,E04,4,294,4,2,G,7.9
318,F04,4,1423,4,2,H,8.67
319,G04,4,1130,4,2,I,7.93
320,H04,4,140,4,2,J,8.06
321,A05,4,66,4,3,A,8.39
322,B05,4,1315,4,3,B,8.88
323,C05,4,1383,4,3,C,12.95
324,D05,4,242,4,3,D,8.22
325,E05,4,1637,4,3,E,6.58
326,F05,4,272,4,3,F,6.63
327,G05,4,1513,4,3,G,8.04
328,H05,4,1442,4,3,H,5.73
329,A06,4,1430,4,3,I,6.5
330,B06,4,389,4,3,J,8.72
331,C06,4,1649,4,4,A,5.77
332,D06,4,1127,4,4,B,10.16
333,E06,4,130,4,4,C,11.49
334,F06,4,927,4,4,D,4.08
335,G06,4,2099,4,4,E,8.56
336,H06,4,2370,4,4,F,8.01
337,A07,4,2319,4,4,G,9.24
338,B07,4,1683,4,4,H,9.31
339,C07,4,1621,4,4,I,4.95
340,D07,4,701,4,4,J,7.24
341,E07,4,304,4,5,A,4.23
342,F07,4,1549,4,5,B,7.99
343,G07,4,1599,4,5,C,5.23
344,H07,4,471,4,5,D,5.54
345,A08,4,1054,4,5,E,5.69
346,B08,4,2228,4,5,F,6.96
347,C08,4,325,4,5,G,5.53
348,D08,4,6,4,5,H,9.52
349,E08,4,2107,4,5,I,7.68
350,F08,4,2116,4,5,J,9.94
351,G08,4,109,4,6,A,10.55
352,H08,4,449,4,6,B,9.54
353,A09,4,831,4,6,C,11.93
354,B09,4,298,4,6,D,13.4
355,C09,4,2323,4,6,E,10.89
356,D09,4,699,4,6,F,10.89
357,E09,4,1742,4,6,G,12.99
358,F09,4,421,4,6,H,11.66
359,G09,4,1736,4,6,I,3.73
